Subject,Start Date,Start Time,End Date,End Time,Location
"Arista Networks",02/1/2016,11:30 AM,02/1/2016,1:30 PM,"DC 1301"
"*Work Market",02/1/2016,2:30 PM,02/1/2016,4:30 PM,"TBD*"
"Shopify",02/1/2016,5:00 PM,02/1/2016,7:00 PM,"TC 2218"
"Atomic Labs",02/1/2016,7:30 PM,02/1/2016,9:30 PM,"Bombshelter Pub"
"*Pacific Services Canada Limited",02/1/2016,7:30 PM,02/1/2016,9:30 PM,"TBD*"
"Essroc",02/2/2016,11:30 AM,02/2/2016,1:30 PM,"University Club - West Wing"
"Zenefits",02/2/2016,2:30 PM,02/2/2016,4:30 PM,"TC 2218"
"Cisco",02/2/2016,5:00 PM,02/2/2016,7:00 PM,"TC 2218"
"SAP",02/2/2016,7:30 PM,02/2/2016,9:30 PM,"Tatham Centre 2218 A & B"
"No day-time info sessions",02/3/2016,08:00 AM,02/3/2016,4:00 PM
"Job Fair",02/3/2016,10:00 AM,02/3/2016,3:30 PM,"Manulife Sportsplex, RIM Park, Waterloo ON"
"Wave",02/3/2016,5:00 PM,02/3/2016,7:00 PM,"TC 2218"
"Wattpad",02/3/2016,7:30 PM,02/3/2016,9:30 PM,"Davis Centre 1301"
"Canon Innovation Lab",02/4/2016,11:30 AM,02/4/2016,1:30 PM,"Davis Centre 1302"
"ProgressSoft Corporation",02/4/2016,2:30 PM,02/4/2016,4:30 PM,"TC 2218"
"Closed Info Session",02/4/2016,5:00 PM,02/4/2016,6:00 PM
"Apple",02/4/2016,6:00 PM,02/4/2016,9:00 PM,"Fed Hall - Main Hall"
"DRI Capital Inc.",02/5/2016,11:30 AM,02/5/2016,1:30 PM,"TC 2218"
"*Work Market",02/5/2016,11:30 AM,02/5/2016,1:30 PM,"TBD*"
"Closed Info Session",02/8/2016,11:30 AM,02/8/2016,1:30 PM,"
"Opendoor.com",02/8/2016,5:00 PM,02/8/2016,7:00 PM,"DC 1302"
"PwC",02/8/2016,7:30 PM,02/8/2016,9:30 PM,"DC 1301"
"Hosted ~FTP~ Inc.",02/9/2016,11:30 AM,02/9/2016,1:30 PM,"University Club - Burgundy Room"
"Citadel",02/9/2016,11:30 AM,02/9/2016,1:30 PM,"DC 1301"
"Closed Info Session",02/9/2016,5:00 PM,02/9/2016,7:00 PM,"
"Nymi Inc.",02/9/2016,7:30 PM,02/9/2016,9:30 PM,"DC 1301"
"Capco",02/10/2016,11:30 AM,02/10/2016,1:30 PM,"DC 1302"
"Joist",02/10/2016,7:30 PM,02/10/2016,9:30 PM,"DC 1301"
"Scotiabank",02/11/2016,11:30 AM,02/11/2016,1:30 PM,"TC 2218"
"Closed info session",02/11/2016,5:00 PM,02/11/2016,7:00 PM,"
"Two Sigma",02/11/2016,7:30 PM,02/11/2016,9:30 PM,"Davis Centre 1301"
"Pinterest",02/12/2016,11:30 AM,02/12/2016,1:30 PM,"Tatham Centre 2218"
"Family Day",02/15/2016,08:00 AM,02/15/2016,11:30 PM,"
"Reading week - no sessions",02/15/2016,08:00 AM,02/15/2016,11:30 PM,"
"Reading week - no sessions",02/16/2016,08:00 AM,02/16/2016,08:00 AM,"
"Reading week - no sessions",02/17/2016,08:00 AM,02/17/2016,08:00 AM,"
"Reading week - no sessions",02/18/2016,08:00 AM,02/18/2016,08:00 AM,"
"Reading week - no sessions",02/19/2016,08:00 AM,02/19/2016,08:00 AM,"
"Validus Research Inc.",02/22/2016,11:30 AM,02/22/2016,1:30 PM,"DC 1301"
"CIBC - Technology Co-op Program",02/22/2016,5:00 PM,02/22/2016,7:00 PM,"TC 2218"
"Bendix Commercial Vehicle Systems",02/22/2016,7:30 PM,02/22/2016,9:30 PM,"Davis Centre 1302"
"Moneris Solutions Corp",02/23/2016,7:30 PM,02/23/2016,9:30 PM,"Fed Hall - Columbia Room B"
"FiveStars",02/24/2016,5:00 PM,02/24/2016,7:00 PM,"DC 1301"
"Ceridian",02/25/2016,11:30 AM,02/25/2016,1:30 PM,"DC 1301"
"FDM Group",02/26/2016,11:30 AM,02/26/2016,1:30 PM,"DC 1301"
