Subject,Start Date,Start Time,End Date,End Time,Location
"Mattermost Inc.",01/5/2016,11:30 AM,01/5/2016,1:30 PM,"DC 1301"
"Google",01/5/2016,5:00 PM,01/5/2016,7:00 PM,"Fed Hall - Main Hall"
"Deloitte",01/5/2016,7:30 PM,01/5/2016,9:30 PM,"Fed Hall - Columbia Room A & B"
"Twitter",01/6/2016,11:30 AM,01/6/2016,1:30 PM,"Fed Hall - Columbia Room A & B"
"Venture For Canada",01/6/2016,5:00 PM,01/6/2016,7:00 PM,"TC 2218"
"Google",01/6/2016,7:30 PM,01/6/2016,9:30 PM,"Fed Hall - Main Hall"
"Capital One",01/7/2016,11:30 AM,01/7/2016,1:30 PM,"Fed Hall - Columbia Room A & B"
"500px",01/7/2016,5:00 PM,01/7/2016,7:00 PM,"Davis Centre 1301"
"CIBC Wholesale Banking",01/7/2016,5:00 PM,01/7/2016,7:00 PM,"Fed Hall - Columbia Room A"
"Siemens Canada",01/7/2016,7:30 PM,01/7/2016,9:30 PM,"TC 2218"
"Protiviti (CPA and non-CPA roles)",01/7/2016,7:30 PM,01/7/2016,9:30 PM,"DC 1302"
"Wish",01/8/2016,11:30 AM,01/8/2016,1:30 PM,"Fed Hall - Columbia Room A & B"
"PagerDuty Inc.",01/11/2016,11:30 AM,01/11/2016,1:30 PM,"DC 1301"
"TunnelBear Inc.",01/11/2016,2:00 PM,01/11/2016,4:00 PM,"DC 1301"
"Airbnb",01/11/2016,5:00 PM,01/11/2016,7:00 PM,"Fed Hall - Columbia Room A & B"
"Yext",01/11/2016,7:30 PM,01/11/2016,9:30 PM,"Fed Hall - Main Hall"
"CIBC - Technology Co-op Program",01/12/2016,11:30 AM,01/12/2016,1:30 PM,"TC 2218"
"Inertia Engineering + Design",01/12/2016,11:30 AM,01/12/2016,1:30 PM,"DC 1301"
"Genesys Laboratories",01/12/2016,2:30 PM,01/12/2016,4:30 PM,"DC 1301"
"Kik Interactive",01/12/2016,5:00 PM,01/12/2016,7:00 PM,"Bombshelter Pub"
"Sandvine",01/12/2016,8:00 PM,01/12/2016,10:00 PM,"Bombshelter Pub"
"Aviva Canada",01/13/2016,11:30 AM,01/13/2016,1:30 PM,"TC 2218"
"Ubisoft Toronto",01/13/2016,11:30 AM,01/13/2016,1:30 PM,"DC 1301"
"Palantir",01/13/2016,2:30 PM,01/13/2016,4:30 PM,"Fed Hall - Main Hall"
"Sunlife Financial",01/13/2016,5:00 PM,01/13/2016,7:00 PM,"DC 1301"
"Bloomberg LP",01/13/2016,7:30 PM,01/13/2016,9:30 PM,"DC 1301"
"Infusion",01/14/2016,11:30 AM,01/14/2016,1:30 PM,"DC 1301"
"Influitive",01/14/2016,2:30 PM,01/14/2016,4:30 PM,"DC 1301"
"Enflick | TextNow",01/14/2016,5:00 PM,01/14/2016,7:00 PM,"TC 2218"
"Suncor Energy",01/14/2016,5:00 PM,01/14/2016,7:00 PM,"DC 1301"
"Microsoft",01/14/2016,7:30 PM,01/14/2016,9:30 PM,"Fed Hall - Main Hall"
"Meraki",01/15/2016,11:30 AM,01/15/2016,1:30 PM,"DC 1301"
"Digiflare Inc.",01/15/2016,2:30 PM,01/15/2016,4:30 PM,"TC 2218"
"Fairfax Financial Holdings Ltd.",01/18/2016,11:30 AM,01/18/2016,1:30 PM,"TC 2218"
"Uken Games",01/18/2016,11:30 AM,01/18/2016,1:30 PM,"DC 1301"
"Amazon",01/18/2016,2:30 PM,01/18/2016,4:30 PM,"Fed Hall - Main Hall"
"Desjardins General Insurance Group",01/18/2016,5:00 PM,01/18/2016,7:00 PM,"Bombshelter Pub"
